unnamed:_0,show_id,type,title,director,cast,date_added,release_year,rating,listed_in,description,budget,production_company_track_record,director_success,cast_popularity,genre_trend,release_season,marketing_budget,imdbrating,imdbvotes,duration_minutes,duration_seasons,main_cast,description_tokens,keywords,votes_log,rating_z,votes_z,popularity_score,popularity_zscore,popularity_cluster,popularity_kmeans,popularity
107,s108,0,a champion heart,david de vos,"Mandy Grace, David De Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",2021-09-04,2018,3,"children & family movies, dramas","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",19404558,71,68,82,trending,0,-0.5679094536576303,6.0,459.0,90.0,0.0,"Mandy Grace, David De Vos, Donna Rusch, Devan Key, Isabella Mancuso","['griev', 'teen', 'must', 'work', 'debt', 'ranch,', 'care', 'wound', 'hors', 'teach', 'heal', 'expected.']","['teen', 'young', 'group', 'film', 'finds']",6.131226489483141,-0.2630192064349312,-1.0318872933121814,-0.6474532498735563,0,1,0,0
125,s126,1,q-force,nan,"Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole, Patti Harrison, Matt Rogers",2021-09-02,2021,10,"crime tv shows, tv action & adventure, tv comedies","A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!",7020468,91,71,80,trending,0,-1.0009554432508898,6.7,6698.0,0.0,1.0,"Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole","['gay', 'superspi', 'scrappi', 'lgbtq', 'squad', 'fight', 'prove', 'agenc', 'underestim', 'them.', 'today,', 'west', 'hollywood…', 'tomorrow,', 'world!']","['world', 'young', 'help', 'film', 'finds']",8.809713540508268,0.33519857554510785,0.15395291077135714,0.2445757431582325,0,0,1,0
138,s139,0,dear john,lasse hallström,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin Mcculley, Jose Lucena Jr., Keith Robinson, Scott Porter",2021-09-01,2010,6,"dramas, romantic movies","While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.",148372756,42,72,93,trending,0,2.09778895823469,6.3,159815.0,108.0,0.0,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona","['summer', 'leave,', 'u.s.', 'soldier', 'fall', 'colleg', 'student.', 'forc', 'reenlist,', 'handwritten', 'letter', 'hold', 'lover', 'together.']","['student', 'college', 'young', 'group', 'film']",11.981778432458569,-0.006640157014914706,1.5583136589022561,0.7758367509436708,1,0,1,0
143,s144,0,green lantern,martin campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",2021-09-01,2011,6,"action & adventure, sci-fi & fantasy",Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,84373976,92,53,60,trending,0,0.5691278862904205,5.5,302909.0,114.0,0.0,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins","['test', 'pilot', 'hal', 'jordan', 'har', 'glow', 'new', 'power', 'good', 'wear', 'otherworldli', 'ring', 'help', 'intergalact', 'forc', 'stop', 'power', 'threat.']","['new', 'young', 'help', 'film', 'finds']",12.621191010666477,-0.6903176221349591,1.8413992694694041,0.5755408236672226,1,0,1,0
156,s157,0,letters to juliet,gary winick,"Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia Debonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan",2021-09-01,2010,5,"comedies, dramas, romantic movies","By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.",147290166,49,88,84,trending,0,-0.02312390406300599,6.5,109437.0,105.0,0.0,"Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero","['respond', 'letter', 'address', ""shakespeare'"", 'tragic', 'heroin', 'juliet', 'capulet,', 'american', 'woman', 'verona,', 'italy,', 'led', 'search', 'romance.']","['romance', 'american', 'woman', 'group', 'film']",11.603113457835589,0.16427920926509657,1.3906682149512224,0.7774737121081595,1,0,1,0
158,s159,0,love don't cost a thing,troy byer,"Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman",2021-09-01,2003,6,"comedies, romantic movies",A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.,67504540,68,80,100,trending,0,0.26408804004512215,5.2,9596.0,101.0,0.0,"Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey","['nerdi', 'teen', 'tri', 'make', 'cool', 'associ', 'convinc', 'popular', 'cheerlead', 'pose', 'girlfriend.']","['make', 'tries', 'teen', 'group', 'film']",9.169205828617628,-0.9466966715549755,0.31311007680466135,-0.31679329737515705,0,1,0,0
163,s164,0,my boss's daughter,david zucker,"Ashton Kutcher, Tara Reid, Jeffrey Tambor, Andy Richter, Michael Madsen, Jon Abrahams, David Koechner, Carmen Electra, Kenan Thompson, Terence Stamp, Molly Shannon",2021-09-01,2003,7,"comedies, romantic movies","A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush.",85826592,97,75,66,trending,0,1.2737104565629498,4.7,31161.0,86.0,0.0,"Ashton Kutcher, Tara Reid, Jeffrey Tambor, Andy Richter, Michael Madsen","['young', 'man', 'house-sit', 'mean', 'boss,', 'hope', 'use', 'opportun', 'win', 'heart', ""boss'"", 'daughter,', 'long', 'crush.']","['house', 'long', 'daughter', 'man', 'young']",10.3469546827773,-1.3739950872550033,0.8345320269467521,-0.2697315301541256,0,1,0,0
168,s169,0,osmosis jones,"bobby farrelly, peter farrelly","Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Ben Stein",2021-09-01,2001,5,"action & adventure, children & family movies, comedies",Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.,141541569,56,47,83,trending,0,0.7028879273223264,6.3,39997.0,95.0,0.0,"Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner","['peter', 'bobbi', 'farrelli', 'outdo', 'partial', 'anim', 'tale', 'out-of-shap', '40-year-old', 'man', ""who'"", 'host', 'variou', 'organisms.']","['year', 'old', 'man', 'help', 'film']",10.596584731846031,-0.006640157014914706,0.9450501450835386,0.46920499403431193,0,0,1,0
169,s170,0,poseidon,wolfgang petersen,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez",2021-09-01,2006,6,"action & adventure, dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.",136736171,55,32,100,trending,0,2.3844983754572517,5.7,112400.0,98.0,0.0,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum","['tidal', 'wave', 'spell', 'disast', 'ship', 'new', ""year'"", 'eve', 'revel', 'capsiz', 'mammoth', 'vessel,', 'send', 'passeng', 'battl', 'survival.']","['year', 'new', 'young', 'help', 'film']",11.629828113199304,-0.5193982558549477,1.402495530807166,0.4415486374761092,0,0,1,0
171,s172,0,same kind of different as me,michael carney,"Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt",2021-09-01,2017,6,"dramas, faith & spirituality",A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.,105814139,65,51,69,trending,0,0.07149980918631325,6.6,8645.0,120.0,0.0,"Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt","['wealthi', 'coupl', 'whose', 'marriag', 'rock', 'befriend', 'local', 'homeless', 'man', 'chang', 'perspect', 'inspir', 'true', 'story.']","['couple', 'true', 'story', 'man', 'group']",9.064852065227576,0.2497388924051018,0.26690978323670006,0.2583243378209009,0,0,1,1
173,s174,0,snervous tyler oakley,amy rice,Tyler Oakley,2021-09-01,2015,6,"documentaries, lgbtq movies","The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour.",69426973,50,77,89,trending,0,0.7700018342770243,5.5,482.0,83.0,0.0,Tyler Oakley,"['inspir', 'internet', 'star', 'lgbt', 'advoc', 'share', 'intim', 'view', 'life', 'relationship', 'intern', '""slumber', 'party""', 'tour.']","['star', 'life', 'group', 'father', 'film']",6.180016653652572,-0.6903176221349591,-1.0102865399264953,-0.8503020810307271,0,1,0,0
174,s175,0,tears of the sun,antoine fuqua,"Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie",2021-09-01,2003,7,"action & adventure, dramas","A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.",102082533,42,63,64,trending,0,1.8540015445472842,6.6,134009.0,121.0,0.0,"Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner","['navi', 'seal', 'sent', 'war-torn', 'african', 'jungl', 'rescu', 'doctor,', 'realiz', 'must', 'also', 'save', 'refuge', ""physician'"", 'care.']","['war', 'save', 'young', 'group', 'film']",11.805669703014274,0.2497388924051018,1.4803454598082237,0.8650421761066628,1,0,1,1
178,s179,0,the interview,"evan goldberg, seth rogen","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi",2021-09-01,2014,7,"action & adventure, comedies",Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.,118686513,72,91,79,trending,0,-0.33964221570406,6.5,366215.0,112.0,0.0,"James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang","['seth', 'rogen', 'jame', 'franco', 'star', 'provoc', 'comedi', 'two', 'journalist', 'recruit', 'cia', 'arrang', 'interview', 'kim', 'jong-un.']","['star', 'comedy', 'young', 'group', 'film']",12.81097860223968,0.16427920926509657,1.9254234786727138,1.044851343968905,1,0,1,0
182,s183,0,welcome home roscoe jenkins,malcolm d. lee,"Martin Lawrence, James Earl Jones, Joy Bryant, Margaret Avery, Mike Epps, Mo'Nique, Cedric The Entertainer, Nicole Ari Parker, Michael Clarke Duncan, Louis C.K.",2021-09-01,2008,6,comedies,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become.",149752881,62,98,73,trending,0,0.054954390214225844,5.5,16041.0,114.0,0.0,"Martin Lawrence, James Earl Jones, Joy Bryant, Margaret Avery, Mike Epps","['r.j.', 'travel', 'georgia', ""parents'"", '50th', 'anniversary.', 'pompous', 'flaunt', 'hollywood', 'lifestyle,', 'must', 'examin', 'become.']","['young', 'help', 'film', 'finds', 'follows']",9.68296556192687,-0.6903176221349591,0.5405657020854205,-0.07487596002476926,0,0,1,0
184,s185,1,sparking joy,nan,Marie Kondo,2021-08-31,2021,11,reality tv,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world.",9234725,92,48,54,declining,2,-1.0416788037722224,6.4,516.0,0.0,1.0,Marie Kondo,"['realiti', 'series,', 'mari', 'kondo', 'bring', 'joy', 'tidi', 'tactic', 'peopl', 'struggl', 'balanc', 'work', 'home', 'life', '—', 'share', 'world.']","['struggling', 'reality', 'people', 'home', 'series', 'world', 'life']",6.248042874508429,0.07881952612509131,-0.9801694528971339,-0.45067496338602125,0,1,0,0
220,s221,1,family reunion,nan,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Richard Roundtree",2021-08-26,2021,11,"kids' tv, tv comedies","When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways.",6766832,65,96,67,trending,2,-0.9401642546383341,5.1,314.0,0.0,4.0,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey","['mckellan', 'famili', 'move', 'seattl', 'small-town', 'georgia,', 'life', 'south', '–', 'tradit', 'grandpar', '–', 'challeng', 'big-citi', 'ways.']","['small', 'big', 'city', 'town', 'family', 'life']",5.752572638825633,-1.0321563546949815,-1.1995278123764286,-1.115842083535705,0,1,0,0
227,s228,0,really love,angel kristi williams,"Kofi Siriboe, Yootha Wong-Loi-Sing, Michael Ealy, Uzo Aduba",2021-08-25,2020,10,"dramas, independent movies, romantic movies",A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.,107090025,50,38,90,trending,2,0.8308654438139241,6.2,1162.0,95.0,0.0,"Kofi Siriboe, Yootha Wong-Loi-Sing, Michael Ealy, Uzo Aduba","['rise', 'black', 'painter', 'tri', 'break', 'competit', 'art', 'world', 'balanc', 'unexpect', 'romanc', 'ambiti', 'law', 'student.']","['romance', 'tries', 'student', 'world', 'group']",7.0587581525186645,-0.09209984015491995,-0.6212434053131609,-0.3566716227340404,0,1,0,0
229,s230,0,the old ways,christopher alender,"Brigitte Kali Canales, Andrea Cortes, Julia Vera, Sal Lopez",2021-08-25,2020,10,horror movies,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed.",126971286,81,51,81,stable,2,-0.3363304399806933,5.4,8168.0,90.0,0.0,"Brigitte Kali Canales, Andrea Cortes, Julia Vera, Sal Lopez","['report', 'visit', 'birthplac', 'veracruz', 'stori', 'tribal', 'culture,', 'kidnap', 'local', 'believ', 'demon', 'possessed.']","['story', 'young', 'group', 'film', 'finds']",9.00810178134187,-0.7757773052749642,0.24178486497395568,-0.2669962201505043,0,1,0,0
247,s248,0,sweet girl,brian andrew mendoza,"Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Amy Brenneman, Adria Arjona, Raza Jaffrey, Justin Bartha, Lex Scott Davis, Michael Raymond-James",2021-08-20,2021,7,"action & adventure, dramas","He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now.",84957241,83,46,77,trending,2,0.8832422451127145,5.5,36296.0,110.0,0.0,"Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Amy Brenneman, Adria Arjona","['lost', 'love', 'life', 'pharmaceut', ""company'"", 'greed.', 'daughter', 'without', 'mother,', 'without', 'justice.', 'now.']","['daughter', 'mother', 'love', 'life', 'group']",10.499490372209587,-0.6903176221349591,0.9020637900804132,0.10587308397272704,0,0,1,0
251,s252,0,like crazy,drake doremus,"Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston, Oliver Muirhead, Finola Hughes, Chris Messina, Ben York Jones, Jamie Thomas King",2021-08-19,2011,6,"dramas, independent movies, romantic movies",A spirited exchange student and an American man fall in love in LA. But their romance faces an uphill battle when she is forced to return to England.,80698655,52,45,86,trending,2,0.9187777161452185,6.6,63654.0,91.0,0.0,"Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston","['spirit', 'exchang', 'student', 'american', 'man', 'fall', 'love', 'la.', 'romanc', 'face', 'uphil', 'battl', 'forc', 'return', 'england.']","['romance', 'student', 'american', 'love', 'man']",11.061233155495746,0.2497388924051018,1.150762836999294,0.7002508647021979,1,0,1,1
264,s265,0,walk of shame,steve brill,"Elizabeth Banks, James Marsden, Gillian Jacobs, Sarah Wright, Ethan Suplee, Bill Burr, Ken Davitian, Lawrence Gilliard Jr., Alphonso Mcauley, Da'Vone Mcdonald, John Marsden, Willie Garson, Oliver Hudson, P.J. Byrne",2021-08-16,2014,7,"comedies, independent movies","After a night of boozy carousing, a local newscaster finds herself stranded on the streets of LA just hours before the job interview of a lifetime.",11478809,44,37,99,trending,2,-1.0281189148060685,6.0,58157.0,94.0,0.0,"Elizabeth Banks, James Marsden, Gillian Jacobs, Sarah Wright, Ethan Suplee","['night', 'boozi', 'carousing,', 'local', 'newscast', 'find', 'strand', 'street', 'la', 'hour', 'job', 'interview', 'lifetime.']","['finds', 'young', 'help', 'film', 'follows']",10.970918723720663,-0.2630192064349312,1.1107781433391686,0.42387946845211866,0,0,1,0
271,s272,1,brand new cherry flavor,nan,"Rosa Salazar, Eric Lange, Catherine Keener, Jeff Ward, Manny Jacinto, Hannah Levien, Patrick Fischler",2021-08-13,2021,10,"tv dramas, tv horror, tv mysteries","A filmmaker heads to Hollywood in the early '90s to make her movie but tumbles down a hallucinatory rabbit hole of sex, magic, revenge — and kittens.",4681250,96,39,67,trending,2,-1.0769582402192162,7.1,20133.0,0.0,1.0,"Rosa Salazar, Eric Lange, Catherine Keener, Jeff Ward, Manny Jacinto","['filmmak', 'head', 'hollywood', 'earli', ""'90"", 'make', 'movi', 'tumbl', 'hallucinatori', 'rabbit', 'hole', 'sex,', 'magic,', 'reveng', '—', 'kittens.']","['make', 'sex', 'young', 'group', 'film']",9.910165207289369,0.6770373081051296,0.6411532609169099,0.6590952845110198,1,0,1,0
272,s273,1,fast & furious spy racers,nan,"Tyler Posey, Charlet Chung, Jorge Diaz, Camille Ramsey, Luke Youngblood, Renée Elise Goldsberry",2021-08-13,2021,13,kids' tv,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.,7172530,53,99,83,stable,2,-1.0181398940130977,5.2,171150.0,0.0,5.0,"Tyler Posey, Charlet Chung, Jorge Diaz, Camille Ramsey, Luke Youngblood","['govern', 'agenc', 'recruit', 'teen', 'driver', 'toni', 'toretto', 'thrill-seek', 'friend', 'infiltr', 'crimin', 'street', 'race', 'circuit', 'undercov', 'spies.']","['teen', 'friends', 'young', 'group', 'film']",12.050301486769191,-0.9466966715549755,1.5886507078258403,0.3209770181354324,0,0,1,0
280,s281,1,bake squad,nan,Nan,2021-08-11,2021,11,reality tv,Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.,4077741,63,71,52,stable,2,-1.0533619763022544,6.9,1157.0,0.0,1.0,Nan,"['expert', 'baker', 'elev', 'dessert', 'next-level', 'idea', 'epic', 'execution.', 'battl', 'win', 'client', 'need', 'special', 'sweets.']","['special', 'young', 'group', 'film', 'finds']",7.05444965813294,0.506117941825119,-0.6231508947892458,-0.05851647648206337,0,1,0,0
286,s287,1,gabby's dollhouse,nan,"Laila Lockhart Kraner, Tucker Chandler, Juliet Donenfeld, Maggi Lowe, Donovan Patton, Eduardo Franco, Tara Strong, Secunda Wood, Carla Tassara, Sainty Nelsen",2021-08-10,2021,12,kids' tv,"Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures.",6072945,89,75,69,stable,2,-1.018108354248543,7.2,841.0,0.0,2.0,"Laila Lockhart Kraner, Tucker Chandler, Juliet Donenfeld, Maggi Lowe, Donovan Patton","['cute', 'cats,', 'quirki', 'craft', 'color', 'magic!', 'join', 'kitti', 'enthusiast', 'gabbi', 'sidekick', 'pandi', 'paw', 'team', 'seri', 'anim', 'adventures.']","['team', 'series', 'young', 'family', 'film']",6.7357800142423265,0.7624969912451356,-0.7642347486021082,-0.0008688786784862845,0,1,0,0
